Key,Location,InstitutionType,total_num_MagMediaItems,storage_TempHumidity,"How many years has your institution been actively digitizing magnetic media? 
What is the annual average amount of magnetic media items your institution has digitized within those years? (e.g. # of years, 500/year)","Given your institution's current funding and resources, what percentage of the total number of magnetic media items do you estimate your institution will digitize before the material becomes unplayable? Explain if necessary.",How would you rate your institution’s audio/visual digitization practices?,Open Reel Video,U-Matic,Betamax,VHS & S-VHS,Betacam & Betacam SP,Video 8 & Hi8,D2,D3,DVCAM,MiniDV,DVCPro,Digital 8,Open Reel Audio,Compact Cassette,Microcassette,DAT,DTRS,F-1,DCC,8-Track,Other
11,New York,Academic,70000,Temperature/Humidity controlled,"10, 1000/year",100% - we have just started a new media preservation initiative,Above Average,1%,2%,1%,11%,1%,,,,1%,1%,,,36%,45%,,1%,,,,,
12,New York,Academic,726000,Temperature/Humidity controlled,"6 years, increasing every year, from maybe a couple hundred items in the first 3 years, currently over 1,000 (in-house), plus an additional ~300 outsourced.","AV Preserve's ""Cost of Inaction Calculator"" is a helpful tool for this. Using this, we advocated for an increase of $25k to address magnetic media for a 3 year period. Not sure what funding will look like after those 3 years, but we receive more and more requests from faculty and archives, displaying need for digitization services. Based on our census findings, if we say the end of magnetic media is 2030 and we can only digitize 1500 items per year until then we stand to lose 546000 items.",Above Average,,,,,,,,,,,,,,,,,,,,,
13,New York,Academic,70000,Room temperature,for 7 years.,"100%, we got this!",Above Average,,10%,,2%,40%,,,,3%,7%,,,,,,1%,,,,,37%
14,Delaware,Academic,20000,Temperature/Humidity controlled,"4 years, 250",80,Excellent,10%,20%,,20%,20%,,,,,,,,20%,10%,,,,,,,
15,Idaho,Academic,600,Temperature/Humidity controlled,0/0,"I am being optimistic and saying 100%. We only just completed an inventory of all of our media, including magnetic. We are now looking into external funding to support the digitization of those materials. I'm not even sure if some are even still playable at this point.",Poor,30%,4%,4%,8%,,,,,,4%,,,12%,8%,30%,,,,,,
16,Indiana,Academic,226911,"Archival (vacuum sealed items, cold storage, etc.)","3.5 years (in earnest via MDPI), 59250/year",99% (about 2500 items fall outside plan due to format or low priority),Excellent,2%,6%,2%,21%,8%,1%,,,1%,2%,,,32%,20%,,4%,,,,,1%
17,Maryland,Academic,20000,Room temperature,,"10% at most, but I have no idea how long this material will last once we move it offsite to better environmental conditions. Given the expense of digitizing and volume of AV material relative to our size as an institution, I don't expect digitization to be prioritized by the school's administration.",Below Average,,2%,1%,10%,1%,1%,,,,,,,80%,5%,,,,,,,
18,Washington,Museum,35000,Room temperature,15 200/year,"Our media is strongest in obsolete carriers holding vintage operating systems, software, and data. If we get more funding and pick up the pace, we can probably get to 85% before they deteriorate, using current equipment. Specialized equipment will help us reach 100%. Your survey says it is about magnetic media, but at then end it is about audio/visual digitization. This is a pretty bad survey.",Below Average,,1%,1%,2%,,1%,,,,,,,,2%,2%,2%,,,,,89%
18,Washington,Museum,1000,Room temperature,"<1 year, ~50 so far... EOY Goal ~150 more",Difficult to estimate what is playable/readable now! Most of our mag tape dates to the 1960s - 80s.,Below Average,,1%,1%,1%,,,,,,1%,,,2%,5%,1%,3%,,,,,85%
19,Louisiana,Academic,,,,,,2%,10%,,45%,10%,8%,,,1%,7%,,,6%,10%,,1%,,,,,
20,New York,Archive,2000,Room temperature,2 years. 400/year.,"The digitization of the archive's magnetic media is funded by a three-year grant and is expected (and on track) to be completed by the end of that period. Given the timeline of the digitization project, all of the magnetic media in the collection will be digitized before it becomes unplayable.",Above Average,1%,6%,,25%,1%,1%,,,,1%,,,10%,54%,1%,,,,,,
21,New Mexico,Academic,7500,Temperature/Humidity controlled,"15, 200/year (but not consistently)","Audio - all of it; video probably less than 5%, but it depends upon when the media becomes unplayable, which at this point is unknown.",Average,,3%,,75%,2%,,,,,5%,,,5%,10%,,,,,,,
22,New York,Academic,40000,Temperature/Humidity controlled,"5, 300/year (as of mid-2018)","This is a tricky question because the vast majority of the department's collection was non-unique VHS material (formerly the circulating/teaching film studies collection). I'd estimate that as few as 5,000 objects were actual candidates for digitization, and a solid proportion of that unique material was already digitized by the time I left. The lingering question of resources was more around acquiring adequate digital storage to digitize the remaining ~50% of unique items. As long as that question is solved in a timely manner (within the n ext 5 years), given the favorable storage conditions, generous student staffing and general committment to preservation, I would have 99-100% confidence that the department will digitize all its unique magnetic media before it becomes unplayable (but it might intentionally allow non-unique portions of the collection to languish).",Above Average,,,,,,,,,,,,,,,,,,,,,
23,Ohio,Academic,5000,Temperature/Humidity controlled,"We've been doing patron AV requests since early 2016, prior to that, it was very sporadic, usually one collection here and there. Last year with patron requests, it was 55 magnetic media items. This year will be more as there is also a special project to digitize 350 magnetic AV items from one collection on top of patron requests","A very small number. I'm near the end of a multi-year AV assessment and the end result is a report that will include recommendations, one which will be ramping up digitization efforts.",Below Average,,2%,,10%,75%,,,,,,,,,10%,3%,,,,,,
24,California,Archive,5000,Room temperature,5 25/year,10,Average,,,,,,,,,,,,,10%,87%,1%,,,,,1%,1%
25,Oregon,Historical Society,12901,Temperature/Humidity controlled,"3 years, 100/year",90% (we are actively applying for grants and fundraising to digitize as much as possible in the upcoming years),Above Average,,,,25%,,,,,,,,,,,,,,,,,75%
26,Oregon,Private,350,Room temperature,0/year,"25 percent. I hope to digitize all in 2019 and have the funding, but the tapes and floppy discs have been kept in drawers, boxes, file cabinets, etc... i suspect many of the floppy discs have list their data.",Poor,50%,,,,,,,,,,,,,50%,,,,,,,
27,Oregon,Academic,2000,Temperature/Humidity controlled,"7, no idea how many per year","Probably 75%. We are at a turning point right now, having previous digitization efforts been kind of ad hoc, but future digitization efforts not yet started.",Below Average,1%,8%,2%,20%,2%,3%,,,,,,,19%,45%,,,,,,,
28,British Columbia,Academic,3500,Temperature/Humidity controlled,"3 years, have digitized 652 items",,Average,2%,6%,,12%,5%,1%,,,,4%,2%,,50%,16%,,1%,,,,,1%
29,New York,Academic,75377,Temperature/Humidity controlled,"Around 10 years, approximately 1000/year (audio and video).","50%, or more based on available fundings.",Excellent,,,,47%,,,,,,36%,,,,15%,2%,,,,,,
30,Texas,Academic,3542,Temperature/Humidity controlled,"5 years, 100/year","75-80%, mostly university created/owned content that will be outsourced.",Below Average,10%,50%,1%,10%,25%,1%,,,1%,1%,,1%,,,,,,,,,
31,Alaska,Academic,5000,"Archival (vacuum sealed items, cold storage, etc.)","8 years, 500/year","This is extremely difficult to gauge. Funding varies from year-to-year. The number of videotapes entering our collections varies from year-to-year (though is rising in general). The ability to play back most of our tapes hasn't yet gone away or gotten prohibitively expensive, even though I would have guessed several years ago that by 2018 we wouldn't be able to play back many formats. However, I still do feel that a great deal of our videotape collection, in the end, will never be digitized. Maybe 50 percent will be lost? Perhaps even more? What is going to be lost will be items that will become deemed of marginal value compared to the expense of digitization - such as items that are poorly shot, have questionable provenance, are ""orphan"" productions, are poorly labeled, and items that remain undiscovered because they are not cataloged in detail or because researchers have not requested access to them. I foresee that many production elements (b-roll, raw interviews, and edit versions) will also be lost because we will consider the final production the most valuable item to save when decisions have to be made about about where to expend resources. This will be a shame, because often the raw footage and interviews contain very historically valuable information.",Average,,,,100%,,,,,,,,,,,,,,,,,
32,Delaware,Academic,7000,Temperature/Humidity controlled,Just beginning to explore reformatting via Section 108 and membership in the Academic Libraries Video Trust.,"Unknown. We will begin digitizing out of print VHS titles which fall under Section 108, but it is not known yet how this will be accomplished / what the budgetary needs will be.",Average,,,,,,,,,,,,,,,,,,,,,
33,Florida,Academic,,Temperature/Humidity controlled,"10 years, 50-100/year",,Poor,1%,3%,1%,12%,1%,4%,,,2%,4%,,,34%,36%,1%,1%,,,,,
34,Missouri,Academic,27000,Temperature/Humidity controlled,"13 years, 300 items a year","Depends upon new accessions. If we stopped collecting now and focused just on what we have, I estimate we'd complete 70-80%. Our magnetic media digitization is slow because we're concentrating on our lacquer discs which are in more danger.",Above Average,25%,1%,1%,20%,1%,1%,,,,,,,1%,42%,1%,1%,,,,1%,5%
35,Nebraska,Academic,50000,Room temperature,"5,50","50% While the annual rate of digitization seems slow, we do have periodic years where we do massive fund-raising campaigns to digitize, which really helps. We anticipate having at least 1 of these within the next few years that will digitize about 10-15 of the media.",Below Average,1%,3%,,45%,2%,,1%,1%,,,,1%,4%,30%,4%,4%,,1%,,,3%
36,New Mexico,Academic,7500,Temperature/Humidity controlled,"9 years, 400 per year",Probably 80%,Above Average,3%,21%,,16%,18%,8%,,,,2%,3%,,7%,20%,1%,1%,,,,,
37,Utah,Academic,55000,Room temperature,"10+ at sporadic rates and to a variety of standards and formats. While early digitization was strictly access oriented, digitization in the past 2-3 years has been more preservation oriented and to a much higher, archival standard. However, this philosophical shift has slowed the digitization rate of the collection.","Maybe 10-20%. This is a very broad guess. Given the size of the collection, the manpower/funding needed to digitize, and the funding needed for digital preservation, preserving the entire collection will be impossible. At this time we are focusing on known, highly requested items nearing the end of the lifespan, and we are developing workflows for discovering which materials are at the greatest risk and will be of the greatest value.",Average,,,,,,,,,,,,,,,,,,,,,
38,Virginia,Academic,,Temperature/Humidity controlled,"~10, 250/year","perhaps 20% given current funding, but in process of advocating for a significantly increased reformatting budget",Above Average,1%,10%,5%,35%,10%,2%,1%,,,1%,,,35%,,,,,,,,
39,Wyoming,Academic,10000,Temperature/Humidity controlled,"15 years, 5,000",75%. Some material may degrade before digitized while other material likely will not be requested and will not be digitized.,Above Average,1%,6%,,25%,36%,,,,,,,,15%,16%,1%,,,,,,
40,Virginia,Museum,1834,Temperature/Humidity controlled,"6 years, 50/year",60% - we have already digitized all of the Umatics since we found them to be the most unstable,Average,1%,26%,1%,9%,2%,,,,1%,1%,12%,,17%,10%,,,,,,,20%
41,Iowa,Academic,15308,Temperature/Humidity controlled,"5 years, approx. 30/year","10% (prioritizing this going forward, we have a grant to digitize 2400 items this year, but likely will not be able to make a significant dent even still, given the large # of items in collection)",Average,,,1%,7%,,,,,,,,,30%,44%,5%,7%,,,,6%,
42,Kentucky,Academic,5675,Temperature/Humidity controlled,"7 years,700/year",90%,Above Average,,,,80%,,10%,,,,,,,,10%,,,,,,,
42,Kentucky,Academic,300,Temperature/Humidity controlled,8/25,100,Below Average,3%,5%,2%,20%,3%,,,,,,,,30%,35%,2%,,,,,,
43,Anonymous01,,5000,Temperature/Humidity controlled,12,75,Average,5%,,1%,40%,,,,,,,,,25%,25%,1%,,,,,,3%
44,Anonymous02,,,Temperature/Humidity controlled,We do not actively digitize magnetic media. When it does happen it's usually on an ad hoc basis.,Unknown at this time.,Poor,9%,6%,,26%,,0%,,,,,,,,58%,,,,,,,0.0008
45,New York,Academic,1262,,,,,,,,,,,,,,,,,,,,,,,,,
